Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
0,0.0,0.0,0.0,이디야 돌곶이역점,2023-03-24,영업/정상,,서울특별시 성북구 석관동 246-10,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",205060.731432101,456432.184537298,52.9,중저가,37.61020752429728,127.05521293669705,0.1095290887591824,2.0,1.0,0.0,36.16666666666666,3542681.0
1,1.0,1.0,1.0,이디야 고척스카이돔점,2018-01-15,영업/정상,,서울특별시 구로구 고척동 76-160 골든타워빌딩 별관 지상1층 101호,"서울특별시 구로구 경인로 397, 골든타워빌딩 별관동 지상1층 101호 (고척동)",187888.272226034,443955.614464686,101.12,중저가,37.497728143347736,126.86093276883304,1.70306778687455,1.0,0.0,1.0,47.12222222222224,224948.0
2,2.0,2.0,2.0,이디야커피방화역점,2013-03-08,폐업,2023-02-28,서울특별시 강서구 방화동 830 오피앙(지상 1층) 115~116호,"서울특별시 강서구 금낭화로 146, 오피앙 1층 115~116호 (방화동)",183438.673656262,452893.622300597,53.16,중저가,37.57818916210502,126.8104123017116,0.2241333406984268,2.0,0.0,0.0,28.6,215245.0
3,3.0,3.0,3.0,이디야커피(경복궁역점),2013-04-29,폐업,2023-03-02,서울특별시 종로구 체부동 51,"서울특별시 종로구 자하문로 7, 1층 (체부동)",197475.456683105,452713.481753987,50.4,중저가,37.57671251830878,126.9693187794436,0.3586047581157144,0.0,1.0,3.0,82.53333333333333,494058.0
4,4.0,4.0,4.0,이디야커피 구의자양로점,2020-09-02,영업/정상,,서울특별시 광진구 구의동 78-8,"서울특별시 광진구 자양로 251, 1층 (구의동)",207820.941622506,449642.287663473,112.2,중저가,37.54901241171083,127.08640192713246,0.4755133559567939,1.0,0.0,1.0,31.988888888888887,3195580.0
5,5.0,5.0,5.0,이디야커피 길동사거리점,20180720,영업/정상,,서울특별시 강동구 성내동 378-2번지 ,"서울특별시 강동구 천호대로 1132, 1층 101~103호 (성내동)",212035.001621141,447985.957150755,80.0,중저가,37.534043966469966,127.13406227131767,0.169901777101799,1.0,1.0,5.0,55.45555555555556,10118285.0
6,6.0,6.0,6.0,이디야,2013-12-05,폐업,2024-01-04,서울특별시 강동구 강일동 675-3 강일임페리얼타워 106호,"서울특별시 강동구 아리수로93길 19 (강일동, 강일임페리얼타워 106호)",215313.230134197,451469.210879017,29.05,중저가,37.56537927550482,127.1712243790546,0.9641581200482168,2.0,1.0,0.0,55.45555555555556,248692.0
7,7.0,7.0,7.0,이디야 경희궁점,2023-04-27,영업/정상,,서울특별시 종로구 신문로2가 1-117 1층,"서울특별시 종로구 경희궁1길 16, 1층 (신문로2가)",197342.144874709,452153.568549483,87.0,중저가,37.57166738760522,126.96781170729034,0.616637876294282,2.0,0.0,2.0,82.53333333333333,2438521.0
8,8.0,8.0,8.0,이디야커피구의동점,2015-02-05,폐업,2023-03-13,서울특별시 광진구 구의동 200-20,"서울특별시 광진구 아차산로 481, 1층 (구의동)",208324.939444793,448746.466638461,97.02,중저가,37.54093677083593,127.09209521882944,0.4180315142773738,2.0,0.0,2.0,46.53333333333333,4434046.0
9,9.0,9.0,9.0,이디야커피(강서가양동점),2019-10-18,폐업,2023-04-03,서울특별시 강서구 가양동 192-9 한림타운 102호,"서울특별시 강서구 강서로 511, 1층 102호 (가양동, 한림타운)",185917.670740756,452084.848958002,79.3,중저가,37.570943652629325,126.83849172519707,0.7588214331939572,2.0,0.0,0.0,28.6,1339129.0
10,10.0,10.0,10.0,이디야커피(답십리역점),2013-02-27,폐업,2023-04-28,서울특별시 동대문구 답십리동 496-1 1층,"서울특별시 동대문구 천호대로 265, 1층 (답십리동)",204468.998618777,451783.297252042,125.83,중저가,37.56832478368156,127.04848330449668,0.3707818054177201,1.0,0.0,1.0,47.67777777777778,2396402.0
11,11.0,11.0,11.0,이디야(EDIYA)신사멀버리힐스점,2023-03-15,영업/정상,,서울특별시 서초구 잠원동 27-2 1층 E104호,"서울특별시 서초구 강남대로 589, 멀버리힐스 E104호 (잠원동)",201623.318081585,445795.867294055,36.96,중저가,37.51438770452344,127.01625979728044,0.6273336237989546,1.0,0.0,7.0,64.44444444444444,512675.0
12,12.0,12.0,12.0,이디야커피(삼양시장점),2013-08-22,폐업,2023-04-06,서울특별시 강북구 미아동 760-126,서울특별시 강북구 삼양로 234 (미아동),201584.562239173,457984.365944,54.78,중저가,37.62420468770005,127.01584668785172,0.9385758859052116,1.0,0.0,0.0,36.55555555555556,845014.0
13,13.0,13.0,13.0,이디야 (마천사거리점),2014-10-30,폐업,2023-05-01,서울특별시 송파구 거여동 133-77 지상1층,"서울특별시 송파구 마천로 264, 지상1층 (거여동)",212852.620762184,443990.574678948,80.0,중저가,37.49803486165238,127.14324331539386,0.4345873539185726,2.0,0.0,1.0,30.91111111111111,8410570.0
14,14.0,14.0,14.0,이디야 커피 서광교회점,2012-05-16,영업/정상,,서울특별시 은평구 갈현동 1-29 1층,"서울특별시 은평구 통일로 951, 1층 (갈현동)",192788.982045587,458383.256731492,251.3,중저가,37.6277710830994,126.9162094286581,0.3582516171291572,0.0,0.0,0.0,42.04444444444444,2283903.0
15,15.0,15.0,15.0,이디야커피 당곡사거리,2013-11-25,폐업,2023-04-07,서울특별시 관악구 봉천동 970-22,"서울특별시 관악구 봉천로 245, 1층 (봉천동)",193654.447995374,443013.429722508,102.77,중저가,37.4892970705506,126.92614784338936,0.6045126394197337,2.0,0.0,0.0,60.3111111111111,16857941.0
16,16.0,16.0,16.0,이디야커피묵동점,2012-07-16,폐업,2023-05-02,"서울특별시 중랑구 묵동 170-1 묵동자이2단지 1-114,1-115","서울특별시 중랑구 동일로 932, 1-114,1-115호 (묵동, 묵동자이2단지)",206777.731391054,456837.219624564,114.6,중저가,37.61384588748609,127.07466258151506,0.4270965183266133,3.0,1.0,3.0,46.333333333333336,8936797.0
17,17.0,17.0,17.0,이디야커피(국민대점),2014-07-29,폐업,2023-03-20,서울특별시 성북구 정릉동 847-3,서울특별시 성북구 정릉로9라길 8 (정릉동),199965.28221496,456536.160168447,50.4,중저가,37.61115788423408,126.99750423323212,2.321749177750366,0.0,0.0,0.0,66.93333333333334,926097.0
18,18.0,18.0,18.0,이디야 논현학동점,2019-06-26,영업/정상,,서울특별시 강남구 논현동 39-20,"서울특별시 강남구 논현로131길 28, 지상1층 (논현동)",202413.749980215,445761.483091564,99.0,중저가,37.51407623110683,127.02520029424473,0.5803518404750053,0.0,0.0,0.0,64.44444444444444,839475.0
19,19.0,19.0,19.0,이디야 양원남부점,2019-08-08,폐업,2023-05-03,서울특별시 중랑구 망우동 233-28,"서울특별시 중랑구 양원역로 25-10, 1층 (망우동)",209417.812611365,455648.198276927,69.3,중저가,37.60310998399902,127.10454913818128,1.069314259798483,1.0,0.0,0.0,46.333333333333336,3519634.0
20,20.0,20.0,20.0,이디야 명동거리점,2023-06-05,영업/정상,,서울특별시 중구 충무로2가 66-9,"서울특별시 중구 명동8가길 7, 1층 (충무로2가)",198640.659565485,451053.379935307,149.87,중저가,37.56175773681231,126.98251263495138,0.3018610482554197,2.0,2.0,29.0,138.7,6915272.0
21,21.0,21.0,21.0,이디야 강서교차로점,2023-03-23,영업/정상,,서울특별시 강서구 등촌동 654-44 주신기업(주),"서울특별시 강서구 공항대로 437, 주신기업(주) 1층 101호 (등촌동)",187198.392326063,450314.997261936,59.0,중저가,37.555016307890654,126.85301995128992,1.5993334049587418,2.0,2.0,1.0,28.6,267190.0
22,22.0,22.0,22.0,이디야 CBS점,2012-12-13,폐업,2023-03-23,서울특별시 양천구 목동 917-1 CBS빌딩 1층,"서울특별시 양천구 목동서로 159-1, 1층 (목동, CBS빌딩)",188871.512837973,447348.13213342,49.59,중저가,37.52830697735907,126.8720001166052,0.4406928487263145,3.0,2.0,8.0,34.88888888888889,7750066.0
23,23.0,23.0,23.0,이디야강서사거리점,2011-05-04,폐업,2023-03-23,서울특별시 강서구 등촌동 654-44 (지상 1층),"서울특별시 강서구 공항대로 437, 1층 (등촌동, 1동)",187198.392326063,450314.997261936,76.04,중저가,37.555016307890654,126.85301995128992,1.5993334049587418,2.0,2.0,1.0,28.6,267190.0
24,24.0,24.0,24.0,이디야커피(공릉중앙점),2015-06-24,폐업,2023-06-05,"서울특별시 노원구 공릉동 238-48 1층. 7,8호","서울특별시 노원구 공릉로 146 (공릉동, 1층. 7,8호)",206953.775564133,457856.976031993,59.5,중저가,37.62303238458106,127.07666607280824,0.453004739516082,2.0,0.0,0.0,46.333333333333336,2760815.0
25,25.0,25.0,25.0,이디야커피 화곡중앙점,2017-03-07,폐업,2023-05-04,서울특별시 강서구 화곡동 24-154 (지상 1층),"서울특별시 강서구 까치산로 79, 1층 (화곡동, 본동)",186442.432351835,449289.842069874,50.0,중저가,37.54576892598222,126.84448366936414,0.6000437348808823,1.0,0.0,1.0,28.6,3096372.0
26,26.0,26.0,26.0,이디야,2023-04-17,영업/정상,,서울특별시 영등포구 영등포동6가 49-1,"서울특별시 영등포구 영등포로35가길 1, 지하1층 (영등포동6가)",191465.132086637,446630.643919677,56.1,중저가,37.52187026783104,126.90135044176746,0.3840011165714169,4.0,2.0,3.0,34.24444444444445,5611151.0
27,27.0,27.0,27.0,이디야 면목역점,2019-10-07,영업/정상,,서울특별시 중랑구 면목동 126-1 킴스아파트,"서울특별시 중랑구 면목로 429, 1층 상가 102호 (면목동, 킴스아파트)",207588.610230048,454214.379263011,79.0,중저가,37.5902082912917,127.08381970765046,0.3304282588164039,2.0,0.0,1.0,46.333333333333336,5335121.0
28,28.0,28.0,28.0,이디야카페(정릉아리랑점),2014-09-05,폐업,2023-05-11,서울특별시 성북구 정릉동 1035-6 대림아파트상가 105호,"서울특별시 성북구 북악산로 851, 105호 (정릉동, 대림아파트상가 )",201604.627294689,455202.849795642,63.0,중저가,37.59914370704831,127.01606812566472,0.5814903498831416,1.0,0.0,0.0,52.366666666666674,7431091.0
29,29.0,29.0,29.0,이디야커피전문점,2013-08-23,영업/정상,,서울특별시 성북구 정릉동 161-17 1층,"서울특별시 성북구 정릉로 251 (정릉동, 161-17 1층)",200986.983582781,455821.617180441,109.1,중저가,37.604719522561496,127.00907479526528,1.1155475222997175,1.0,0.0,0.0,52.366666666666674,3781489.0
30,30.0,30.0,30.0,이디야 서울과기대점,2007-04-23,폐업,2023-04-19,서울특별시 노원구 공릉동 208-18 1층10호,"서울특별시 노원구 공릉로 208 (공릉동,1층10호)",206797.151290281,458441.087966784,38.51,중저가,37.62829626829578,127.07489729243392,0.3394415244547746,2.0,2.0,0.0,46.333333333333336,411915.0
31,31.0,31.0,31.0,이디야커피 당고개역점,2013-12-30,영업/정상,,서울특별시 노원구 상계동 111-491,"서울특별시 노원구 상계로 313, 1층 (상계동)",207021.829716008,463163.405374887,57.26,중저가,37.67084149129377,127.07748748042174,0.1644342284683353,1.0,0.0,1.0,26.266666666666666,4149755.0
32,32.0,32.0,32.0,이디야커피(선덕고사거리점),20141006,영업/정상,,"서울특별시 도봉구 쌍문동 256 신원에벤에셀상가 101동 2층 209,225호","서울특별시 도봉구 해등로 255, 101동 지상2층 209,225호 (쌍문동, 신원에벤에셀상가)",202422.313606872,461665.385672458,79.9,중저가,37.657368063302656,127.02534832238771,1.2605623029467086,2.0,0.0,0.0,36.55555555555556,401025.0
33,33.0,33.0,33.0,이디야커피도봉보건소사거리점,2012-07-11,폐업,2024-07-26,서울특별시 도봉구 쌍문동 651 1층,"서울특별시 도봉구 해등로 157, 1층 (쌍문동)",203356.110282156,461599.456980604,93.36,중저가,37.65677119140434,127.03593045622614,0.860978859624315,5.0,0.0,1.0,36.55555555555556,5128767.0
34,34.0,34.0,34.0,이디야커피 신논현역점,2017-06-27,폐업,2023-04-21,서울특별시 서초구 반포동 737-16 1층,"서울특별시 서초구 강남대로79길 10, 1층 (반포동)",201982.976325002,444788.702273191,60.0,중저가,37.50531249869639,127.02032527928834,0.8204819473104725,2.0,1.0,12.0,64.44444444444444,14865818.0
35,35.0,35.0,35.0,이디야대림3동점 주식회사 앙크인베스트먼트,2012-12-04,영업/정상,,서울특별시 영등포구 대림동 688-2,"서울특별시 영등포구 대림로 212, 1층 (대림동)",190927.29229011,444157.765368221,96.0,중저가,37.49958457315658,126.8952970327547,0.4979213350623643,0.0,0.0,0.0,34.24444444444445,3363916.0
36,36.0,36.0,36.0,이디야커피 고덕강일2지구점,2023-06-15,영업/정상,,서울특별시 강동구 강일동 70-15,"서울특별시 강동구 아리수로93나길 76, 1층 106,107호 (강일동)",215466.920457331,452250.027592269,59.2,중저가,37.57241175363189,127.17298034923606,1.678666631889413,2.0,0.0,1.0,55.45555555555556,248692.0
37,37.0,37.0,37.0,이디야 고척사거리점,2018-12-03,영업/정상,,서울특별시 구로구 고척동 195-13 종만빌딩,"서울특별시 구로구 고척로 228-6, 종만빌딩 (고척동)",187399.697268421,444855.737125874,113.72,중저가,37.505831640645134,126.85539223193194,1.1804503991667208,1.0,0.0,0.0,47.12222222222224,1838697.0
38,38.0,38.0,38.0,이디야,2008-03-20,폐업,2023-12-27,서울특별시 종로구 연건동 77-2 지상1층,"서울특별시 종로구 대학로 81-1 (연건동,지상1층)",200099.736802632,452911.826843708,20.0,중저가,37.57850321913209,126.99902684901114,0.4724396522049905,2.0,0.0,4.0,50.4,1666179.0
39,39.0,39.0,39.0,이디야 가산SK V1,2018-06-07,폐업,2023-05-26,"서울특별시 금천구 가산동 371-41 가산 에스케이 브이원 센터, 1층 121일부호","서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 121일부호 (가산동)",189378.332493727,442066.99866487,66.0,중저가,37.48073018278007,126.87781052213768,0.410638880108565,6.0,1.0,6.0,47.12222222222224,4504033.0
40,40.0,40.0,40.0,이디야 구로미성점,2015-08-31,영업/정상,,서울특별시 구로구 신도림동 399 기임빌딩,"서울특별시 구로구 구로중앙로 228, 기임빌딩 1층 106,107,108호 (신도림동)",189026.342384854,444895.113011547,68.2,중저가,37.50620728889439,126.87378854209912,1.0014300222405257,1.0,0.0,1.0,47.12222222222224,2731150.0
41,41.0,41.0,41.0,이디야 서울삼성내과점,2020-06-30,영업/정상,,서울특별시 송파구 잠실동 294-4 오룡빌딩,"서울특별시 송파구 백제고분로 126, 오룡빌딩 1층 103,104호 (잠실동)",207069.724198768,444885.543047372,56.57,중저가,37.5061604563592,127.07785561787828,0.6558045688392509,1.0,0.0,2.0,34.18888888888889,3656103.0
42,42.0,42.0,42.0,이디야커피 삼전중앙점,2023-06-30,영업/정상,,서울특별시 송파구 삼전동 100-5,"서울특별시 송파구 백제고분로27길 5, 1층, 2층 (삼전동)",208115.272928815,444612.651896276,265.65,중저가,37.50369319309073,127.08967756505407,0.0539215290731745,2.0,0.0,0.0,34.18888888888889,8996784.0
43,43.0,43.0,43.0,이디야 경복궁역점,2023-06-29,영업/정상,,서울특별시 종로구 체부동 51 성명빌딩 1층,"서울특별시 종로구 자하문로 7, 성명빌딩 1층 (체부동)",197475.456683105,452713.481753987,50.4,중저가,37.57671251830878,126.9693187794436,0.3586047581157144,0.0,1.0,3.0,82.53333333333333,494058.0
44,44.0,44.0,44.0,이디야커피 청룡중앙점,2019-01-22,영업/정상,,서울특별시 관악구 봉천동 1562-18 제이빌딩,"서울특별시 관악구 쑥고개로 80, 제이빌딩 1층 (봉천동)",195088.492091096,441889.229650024,69.3,중저가,37.479176853780864,126.94237053314365,0.5656813612656977,1.0,0.0,0.0,60.3111111111111,3101192.0
45,45.0,45.0,45.0,이디야 국립국악원 예악당,2023-06-29,영업/정상,,서울특별시 서초구 서초동 740-4 국립국악원 예악당 1층,"서울특별시 서초구 남부순환로 2364, 국립국악원 예악당 1층 (서초동)",200732.736368754,441797.039635718,34.8,중저가,37.47835936904357,127.00618276015771,0.8707727585701651,0.0,0.0,1.0,37.3,3621863.0
46,46.0,46.0,46.0,아라마크(주) 연세의료원 제중관 이디야커피,2014-08-14,영업/정상,,"서울특별시 서대문구 신촌동 134 신촌세브란스병원, 1층","서울특별시 서대문구 연세로 50-1, 신촌세브란스병원 1층 (신촌동)",194584.959249312,451381.585492051,36.3,중저가,37.56469964305744,126.9366069810422,0.9809182078217238,2.0,2.0,3.0,45.63333333333334,394961.0
47,47.0,47.0,47.0,아라마크(주) 연세의료원 ABMRC 이디야커피,2013-02-20,영업/정상,,"서울특별시 서대문구 신촌동 134 세브란스병원, 연세의료원 ABMRC","서울특별시 서대문구 연세로 50-1, 신촌세브란스병원, 연세의료원 ABMRC (신촌동)",194584.959249312,451381.585492051,53.0,중저가,37.56469964305744,126.9366069810422,0.9809182078217238,2.0,2.0,3.0,45.63333333333334,394961.0
48,48.0,48.0,48.0,이디야 천호1동점,2023-12-29,영업/정상,,서울특별시 강동구 천호동 395-78 헤리티지,"서울특별시 강동구 구천면로34길 43, 지1층 비101호 (천호동, 헤리티지)",211736.311628564,448929.58952831,103.36,중저가,37.542549831551526,127.13069789252826,0.667102439501542,1.0,1.0,0.0,55.45555555555556,3644599.0
49,49.0,49.0,49.0,이디야 면목늘찬병원점,2023-05-17,영업/정상,,서울특별시 중랑구 면목동 179-24 늘찬병원,"서울특별시 중랑구 동일로 643, 늘찬병원 1층 (면목동)",206963.656507439,453966.434982103,125.61,중저가,37.587979247030205,127.07674133861534,0.9453130503125404,0.0,0.0,0.0,46.333333333333336,6443356.0
50,50.0,50.0,50.0,이디야커피 구일역점,2014-08-14,영업/정상,,"서울특별시 구로구 구로동 642-108 혜원리버파크 1층 112,113호","서울특별시 구로구 구일로 110 (구로동, 혜원리버파크 1층 112,113호)",188611.564007526,443658.176253167,82.5,중저가,37.49505748378946,126.86911673962872,1.8880861797992337,3.0,0.0,0.0,47.12222222222224,297734.0
51,51.0,51.0,51.0,이디야에스프레소신설점,20010914,영업/정상,,서울특별시 종로구 숭인동 200-13 ,"서울특별시 종로구 난계로29길 30, 1층 (숭인동)",201827.31373295,452438.762225231,66.2,중저가,37.57423928265053,127.01858314659177,0.1459536995001498,1.0,1.0,3.0,44.73333333333333,1768964.0
52,52.0,52.0,52.0,이디야 강일점,2024-01-03,영업/정상,,서울특별시 강동구 강일동 675-3 임페리얼타워,"서울특별시 강동구 아리수로93길 19, 임페리얼타워 1층 105,106호 (강일동)",215313.230134197,451469.210879017,58.1,중저가,37.56537927550482,127.1712243790546,0.9641581200482168,2.0,1.0,0.0,55.45555555555556,248692.0
53,53.0,53.0,53.0,이디야커피 마곡수명산점,2014-06-17,영업/정상,,서울특별시 강서구 내발산동 750-9 웨스트엔드문화센터 (지상 1층) 103~104호,"서울특별시 강서구 수명로 68-27, 1층 103~104호 (내발산동, 웨스트엔드문화센터)",184615.262498687,450059.812591304,66.0,중저가,37.55267746172076,126.82379170505254,0.8507676523337033,3.0,0.0,0.0,28.6,44150.0
54,54.0,54.0,54.0,이디야노량진드림스퀘어점,2021-02-23,영업/정상,,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 1층 C113, C114호 (노량진동)",194571.152376388,445790.549860682,97.5,중저가,37.51432476938597,126.93649251864922,1.1418266029377628,2.0,2.0,2.0,26.58888888888889,7278814.0
55,55.0,55.0,55.0,이디야 상도파크엘점,2024-01-04,영업/정상,,서울특별시 동작구 상도동 904 상도역 롯데캐슬 파크엘,"서울특별시 동작구 양녕로 220, 제지하1층 제에이-2호 (상도동, 상도역 롯데캐슬 파크엘)",195221.942587848,444278.227772381,84.12,중저가,37.50070243264682,126.94386357743588,0.4348579278743235,0.0,1.0,0.0,26.58888888888889,2231944.0
56,56.0,56.0,56.0,이디야커피 하계온천점,2016-05-23,폐업,2023-08-17,서울특별시 노원구 하계동 251-4 인정빌딩 104호,"서울특별시 노원구 노원로 257, 104호 (하계동, 인정빌딩)",206350.493353359,459768.681704353,88.71,중저가,37.64026075000999,127.06984884451552,0.5689110194053693,2.0,0.0,1.0,26.266666666666666,1135496.0
57,57.0,57.0,57.0,이디야커피 역삼월드점,2023-10-04,영업/정상,,서울특별시 강남구 역삼동 754-2 도곡프라자,"서울특별시 강남구 역삼로52길 14, 도곡프라자 지상1층 102호 (역삼동)",204170.278135097,444036.656041328,36.75,중저가,37.498529441968905,127.04505874319136,0.666037858664277,0.0,0.0,1.0,69.35555555555555,1187408.0
58,58.0,58.0,58.0,이디야상계역사거리점,2018-07-20,영업/정상,,서울특별시 노원구 상계동 169-461,"서울특별시 노원구 한글비석로 409, 1,2층 (상계동)",206181.703785021,462084.524140091,142.03,중저가,37.66112704878069,127.06795583541675,0.4995705534391978,2.0,0.0,1.0,26.266666666666666,2990257.0
59,59.0,59.0,59.0,이디야 삼전역점,2015-02-06,영업/정상,,서울특별시 송파구 삼전동 133-6 지상1층,"서울특별시 송파구 백제고분로 263, 지상1층 (삼전동)",208401.243206636,444512.866698716,79.3,중저가,37.50279159446296,127.09291059042536,0.3561426955666786,1.0,0.0,0.0,34.18888888888889,8996784.0
60,60.0,60.0,60.0,이디야라이프점,2004-04-01,영업/정상,,서울특별시 영등포구 여의도동 61-3 라이프오피스텔 지하1층 44호동,"서울특별시 영등포구 63로 40, 지하1층 44호동 (여의도동,라이프오피스텔)",194561.746032498,446364.318286465,62.43,중저가,37.51949434171255,126.93638182983928,0.9318087094467148,1.0,0.0,0.0,26.58888888888889,253168.0
61,61.0,61.0,61.0,이디야 동대문 팀204점,2023-10-11,영업/정상,,서울특별시 중구 신당동 204-48 Team204,"서울특별시 중구 마장로 30, Team204 3층 (신당동)",201121.306096947,451706.52701165,66.0,중저가,37.56764301275607,127.01059002419558,0.2614684417728776,2.0,1.0,1.0,44.73333333333333,237408.0
62,62.0,62.0,62.0,이디야커피 신정역점,2022-09-19,폐업,2024-01-05,서울특별시 양천구 신정동 922-17,"서울특별시 양천구 오목로 155, 1층 (신정동)",187082.051039049,446981.829794841,83.7,중저가,37.52498318459137,126.85176221257498,0.3896813392978846,1.0,1.0,1.0,28.6,4809971.0
63,63.0,63.0,63.0,이디야 커피 한성대점,2009-07-10,영업/정상,,서울특별시 성북구 삼선동2가 198 (102호),"서울특별시 성북구 삼선교로10길 45 (삼선동2가,(102호))",200815.10615205,453764.792287494,30.0,중저가,37.58618801405392,127.0071262270344,0.2350822723479627,1.0,0.0,1.0,50.4,2642581.0
64,64.0,64.0,64.0,이디야커피목동남부점,2016-08-30,폐업,2023-08-31,"서울특별시 양천구 신정동 203-7 지상1층 2,3호","서울특별시 양천구 목동남로 46, 지상1층 2,3호 (신정동)",187971.561450511,445180.40867328,60.0,중저가,37.50876457990158,126.86185451699824,0.5439156279898425,2.0,0.0,0.0,47.12222222222224,2622793.0
65,65.0,65.0,65.0,이디야(아현역점),2024-01-08,영업/정상,,서울특별시 서대문구 북아현동 126-22 아현 메디컬,"서울특별시 서대문구 신촌로37길 10, 아현 메디컬 101호 일부 (북아현동)",196134.284316417,450605.206350745,79.85,중저가,37.55771246125213,126.95414738987613,0.1267753822051509,2.0,1.0,2.0,60.1,774184.0
66,66.0,66.0,66.0,이디야커피 연희홍연길점,2023-10-13,영업/정상,,서울특별시 서대문구 연희동 717-7,"서울특별시 서대문구 홍제천로 146-9, 1층 (연희동)",193750.234026215,452677.98959305,59.37,중저가,37.57637473704935,126.92714786995032,1.7626437587617672,0.0,0.0,0.0,51.66666666666666,175713.0
67,67.0,67.0,67.0,이디야,2023-10-17,영업/정상,,서울특별시 관악구 신림동 92-32 서원동성당,"서울특별시 관악구 신림로46길 1, 서원동성당 지하1층 (신림동)",194048.821645693,441810.964762427,83.66,중저가,37.47846550553896,126.93061694454752,0.6687969162336611,2.0,1.0,0.0,70.85555555555555,3560125.0
68,68.0,68.0,68.0,이디야커피전농뉴타운점,2013-03-25,폐업,2023-10-13,서울특별시 동대문구 전농동 652-1 우일빌딩,"서울특별시 동대문구 답십리로 77, 1층 (전농동, 우일빌딩)",204313.869527831,452538.14193671,44.73,중저가,37.575126567779606,127.04673174295328,0.5057612293106022,1.0,0.0,0.0,47.67777777777778,4962209.0
69,69.0,69.0,69.0,이디야,2024-03-08,영업/정상,,서울특별시 노원구 상계동 624 상계주공15단지아파트,"서울특별시 노원구 동일로227길 26, 1층 (상계동, 상계주공15단지아파트)",204670.573678123,462933.316362013,6.61,중저가,37.66878325885245,127.05083515928254,0.5590767927439696,0.0,0.0,0.0,26.266666666666666,5900764.0
70,70.0,70.0,70.0,이디야커피 둔촌점,2010-05-27,영업/정상,,서울특별시 강동구 성내동 415-8 1층 9호,"서울특별시 강동구 양재대로 1377 (성내동,1층 9호)",211976.269176583,447462.077236492,35.47,중저가,37.529324613508926,127.13338928147265,0.6978353544663009,2.0,0.0,1.0,55.45555555555556,1234073.0
71,71.0,71.0,71.0,이디야커피,2010-10-27,폐업,2024-03-15,서울특별시 영등포구 당산동3가 315 외2필지 지상1층,"서울특별시 영등포구 당산로 110 (당산동3가,외2필지 지상1층)",190791.225613055,446926.797172515,35.25,중저가,37.52453206555059,126.89372337369517,0.0562293237470639,1.0,0.0,2.0,34.24444444444445,7306631.0
72,72.0,72.0,72.0,이디야 등촌3동성당점,2024-06-20,영업/정상,,서울특별시 강서구 등촌동 667-7 SJC빌딩,"서울특별시 강서구 강서로56길 110, SJC빌딩 1층 일부호 (등촌동)",186221.461740975,450744.023135457,91.27,중저가,37.55886762238666,126.84195580145612,1.178363598012157,3.0,1.0,2.0,28.6,284729.0
73,73.0,73.0,73.0,이디야커피 은평신사점,2024-05-07,영업/정상,,서울특별시 은평구 신사동 18-24 새마을금고신사동제2분사무소,"서울특별시 은평구 갈현로1길 21, 새마을금고신사동제2분사무소 1층 (신사동)",191794.541628826,455218.994158124,73.3,중저가,37.59925330174726,126.9049799796381,0.876760735526178,1.0,0.0,0.0,42.04444444444444,6697949.0
74,74.0,74.0,74.0,(주)비지에프휴먼넷 이디야 관악산으뜸점,2024-08-16,영업/정상,,서울특별시 관악구 신림동 210,"서울특별시 관악구 신림로 21, 2층 (신림동)",195098.743616416,440685.622331231,167.28,중저가,37.468332378722735,126.94249454404276,1.765719829818781,0.0,0.0,0.0,70.85555555555555,2090464.0
75,75.0,75.0,75.0,이디야 삼성금융연수원점,2023-12-29,영업/정상,,서울특별시 서초구 서초동 1641-10 서초금융캠퍼스 1층,"서울특별시 서초구 사임당로23길 27, 서초금융캠퍼스 1층 (서초동)",201730.78273369,443305.502426124,394.35,중저가,37.49194937345763,127.01746969459114,0.3794563122716272,0.0,0.0,1.0,40.93333333333334,1878489.0
76,76.0,76.0,76.0,비밀베이커리와 이디야커피,2024-03-18,영업/정상,,서울특별시 중구 을지로6가 18-37,"서울특별시 중구 을지로43길 38, 지하1층 (을지로6가)",200616.304949685,451713.374319666,65.98,중저가,37.56770514694643,127.0048738768168,0.4241078450621295,4.0,1.0,8.0,58.21111111111111,4110785.0
77,77.0,77.0,77.0,이디야 고려대 타이거프라자,2012-04-16,영업/정상,,서울특별시 성북구 안암동5가 1-2 고려대학교안암캠퍼스,"서울특별시 성북구 안암로 145, 고려대학교안암캠퍼스 타이거프라자동 2층 (안암동5가)",202789.692329185,454049.551940162,113.2,중저가,37.58874993020133,127.02948334277072,0.2958231564464103,0.0,1.0,4.0,52.366666666666674,3695572.0
