Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
226,229.0,229.0,229.0,이디야커피 자양사거리점,20130312,폐업,20200917,서울특별시 광진구 자양동 680-2 ,"서울특별시 광진구 자양로 92, 1층 (자양동)",207369.576935296,448199.234475482,79.00,중저가,37.53601431408615,127.081279814162,0.7204793411740148,4.0,0.0,4.0,47.67777777777778,5587349.0
227,230.0,230.0,230.0,이디야답십리파크자이점,20190311,영업/정상,,서울특별시 동대문구 답십리동 12-18 영진빌딩,"서울특별시 동대문구 한천로 55, 영진빌딩 1층 (답십리동)",205393.433367381,451620.970949384,85.00,중저가,37.56685736119718,127.05894597409946,0.5790256151674499,1.0,0.0,0.0,33.922222222222224,2169578.0
228,231.0,231.0,231.0,이디야커피(촬영소사거리점),20141024,영업/정상,,서울특별시 동대문구 장안동 387-4번지 1층 ,"서울특별시 동대문구 답십리로 264, 1층 (장안동)",206067.434918233,452221.095517991,105.60,중저가,37.57226026431552,127.06657988384468,1.2157590052596143,3.0,0.0,3.0,33.922222222222224,858710.0
229,232.0,232.0,232.0,이디야 답십리사거리점,20211206,영업/정상,,서울특별시 동대문구 답십리동 241-16 ,"서울특별시 동대문구 답십리로 145, 1,2층 (답십리동)",204886.737194561,452312.275460669,227.52,중저가,37.57308871984884,127.05321524348544,0.6730471281490054,2.0,1.0,1.0,40.75555555555556,5100272.0
230,233.0,233.0,233.0,이디야커피 장안중랑천점,20211019,영업/정상,,서울특별시 동대문구 장안동 350-3 ,"서울특별시 동대문구 장한로18길 32, 1층 (장안동)",206182.128076944,451695.384687285,67.78,중저가,37.567522921735495,127.06787380013816,0.7395817260687318,2.0,0.0,0.0,44.73333333333333,11032370.0
231,234.0,234.0,234.0,이디야 장한평 군자초교점,20210329,영업/정상,,서울특별시 동대문구 장안동 408-13 ,"서울특별시 동대문구 한천로2길 53, 1층 (장안동)",205356.227543149,451177.571534221,86.00,중저가,37.56286259869544,127.05852164445332,0.382174353348588,1.0,0.0,0.0,33.922222222222224,2169578.0
232,235.0,235.0,235.0,이디야이문점,20170314,영업/정상,,서울특별시 동대문구 이문동 238-18번지 ,"서울특별시 동대문구 신이문로 19, 1층 (이문동)",205601.787118129,455646.76013145,56.00,중저가,37.603127896189065,127.06133473835594,0.9270580636557856,1.0,1.0,0.0,40.75555555555556,275679.0
233,236.0,236.0,236.0,이디야커피 동대문구청점,2018-06-04,영업/정상,,서울특별시 동대문구 용두동 39-809,"서울특별시 동대문구 천호대로 153-1, 1층 (용두동)",203521.35446846,452371.582837418,85.98,중저가,37.5736292062759,127.03775951457996,0.2090288142096436,1.0,0.0,0.0,44.73333333333333,6264414.0
234,237.0,237.0,237.0,이디야커피(배봉초교사거리점),20140926,영업/정상,,서울특별시 동대문구 장안동 105-7번지 1층 ,"서울특별시 동대문구 답십리로63길 131, 1층 (장안동)",206053.893645521,452913.215773137,107.58,중저가,37.57849626288129,127.06643225306406,1.7739789181083294,1.0,1.0,0.0,47.67777777777778,295522.0
235,238.0,238.0,238.0,이디야경희대점,20170823,영업/정상,,서울특별시 동대문구 회기동 16-55,"서울특별시 동대문구 경희대로 4, 2층 (회기동)",204569.432296208,454399.29339359,126.28,중저가,37.59189405971389,127.04963620789133,1.2193185509324138,1.0,0.0,5.0,44.73333333333333,1901819.0
236,239.0,239.0,239.0,이디야 동부병원사거리점,20150424,영업/정상,,서울특별시 동대문구 용두동 127-16번지 ,"서울특별시 동대문구 무학로 104, 1층 (용두동)",202660.986070775,452358.367217647,105.00,중저가,37.57351296157957,127.02802010399432,0.3744241223826241,1.0,0.0,0.0,33.922222222222224,7999212.0
237,240.0,240.0,240.0,이디야커피 장안중앙점,20150529,영업/정상,,서울특별시 동대문구 장안동 93-99,"서울특별시 동대문구 사가정로25길 42, 1층 (장안동)",206198.342004786,453157.77394507,104.88,중저가,37.58069874695314,127.06806955913976,1.7798563067151156,0.0,1.0,0.0,40.75555555555556,295522.0
238,241.0,241.0,241.0,이디야커피,20160108,영업/정상,,서울특별시 동대문구 용두동 119-1번지 ,서울특별시 동대문구 왕산로 68 (용두동),202672.572284882,452819.875924154,139.38,중저가,37.57767106241874,127.02815290117564,0.2355857693118366,1.0,0.0,1.0,47.67777777777778,2543009.0
239,242.0,242.0,242.0,이디야커피점,20110314,영업/정상,,서울특별시 동대문구 장안동 430-3 지상1층,"서울특별시 동대문구 장한로 43 (장안동,지상1층)",205821.493944261,451425.917121025,79.20,중저가,37.565097374822045,127.06378964503553,0.4080543531316031,0.0,0.0,0.0,33.922222222222224,11032370.0
240,243.0,243.0,243.0,이디야커피(회기중앙점),20121106,영업/정상,,서울특별시 동대문구 휘경동 191-4번지 ,"서울특별시 동대문구 회기로 193, 1층 (휘경동)",205005.345101437,454211.977207593,66.00,중저가,37.5902041342226,127.05457067861876,1.3786752060823293,3.0,0.0,3.0,40.75555555555556,1508604.0
241,244.0,244.0,244.0,이디야커피(전농사거리점),2012-12-05,영업/정상,,서울특별시 동대문구 전농동 39-18 1층(39-9),"서울특별시 동대문구 사가정로 132, 1층 (전농동, (39-9))",205187.072884591,452813.435318697,76.00,중저가,37.57760248278679,127.0566185167099,0.9653545108987588,2.0,0.0,0.0,44.73333333333333,1969038.0
242,245.0,245.0,245.0,이디야(장안동사거리점),20130909,영업/정상,,서울특별시 동대문구 장안동 331-4번지 1층 ,"서울특별시 동대문구 답십리로 309, 1층 (장안동)",206543.156690365,452235.566160448,99.00,중저가,37.57238742069499,127.07196507670092,1.342692288095405,2.0,0.0,1.0,47.67777777777778,6749770.0
243,246.0,246.0,246.0,이디야커피,20101019,영업/정상,,서울특별시 동대문구 청량리동 235-4번지 1층 10호 ,"서울특별시 동대문구 왕산로 225 (청량리동,1층 10호)",204089.817117361,453314.135663101,49.50,중저가,37.58211917187196,127.04419968161378,0.3023623612984529,1.0,0.0,1.0,44.73333333333333,1655175.0
244,247.0,247.0,247.0,이디야커피,20080424,영업/정상,,서울특별시 동대문구 신설동 102-26 남선빌딩 1층 (하정로 13) ,"서울특별시 동대문구 천호대로 11-3 (신설동,남선빌딩 1층 (하정로 13))",202136.434632005,452534.940181555,93.04,중저가,37.57510519042812,127.0220826934272,0.3734280704310407,3.0,2.0,4.0,40.75555555555556,7999212.0
245,248.0,248.0,248.0,이디야회기역점,2007-04-17,폐업,2024-01-05,서울특별시 동대문구 휘경동 264-2 효자워너빌 103호,"서울특별시 동대문구 망우로 67 (휘경동,효자워너빌 103호)",205310.579775544,454183.35022373,39.80,중저가,37.58994452112288,127.05802649271232,1.5447184692513571,1.0,0.0,3.0,47.67777777777778,5133205.0
246,249.0,249.0,249.0,이디야 신설동역점,20110215,폐업,20180313,서울특별시 동대문구 신설동 76-36번지 1층 ,"서울특별시 동대문구 왕산로 15-1, 1층 (신설동)",202165.405300438,452692.783720081,66.00,중저가,37.57652727463123,127.02241109992744,0.3129251637806699,2.0,1.0,2.0,40.75555555555556,7999212.0
