Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
412,419.0,419.0,419.0,419.0,메가엠지씨커피 종로케이트윈타워점,2024-07-26,영업/정상,,서울특별시 종로구 중학동 19 더케이트윈타워,"서울특별시 종로구 종로1길 50, 더케이트윈타워 B동 지하 1층 19-2호 (중학동)",198101.593328721,452496.362099822,57.93,저가,37.57475784533967,126.97640751541928,0.3033147173132881,0.0,1.0,7.0,70.85555555555555,1684450.0
413,420.0,420.0,420.0,420.0,컴포즈커피 마포경찰서점,2024-07-26,영업/정상,,서울특별시 마포구 공덕동 105-159 공덕동 105-157외1필지,"서울특별시 마포구 마포대로 180, 1층 좌측호 (공덕동)",195998.685331221,449769.513357374,66.0,저가,37.550182361503445,126.95261736616996,0.3113908341118562,0.0,2.0,2.0,36.55555555555556,446712.0
414,421.0,421.0,421.0,421.0,빽다방 중곡사거리점,2024-07-29,영업/정상,,서울특별시 광진구 중곡동 124-39,"서울특별시 광진구 용마산로 51, 1층 일부호 (중곡동)",207673.112844251,450670.123159902,29.24,저가,37.55827433335248,127.08473971261014,0.4085327413742629,1.0,1.0,0.0,44.73333333333333,6838959.0
415,422.0,422.0,422.0,422.0,메가엠지씨커피 수락디자인점,2024-07-29,영업/정상,,서울특별시 노원구 상계동 1121-17,"서울특별시 노원구 동일로242길 55, 지상1층 좌측호 (상계동)",205079.406231184,463614.629752811,50.45,저가,37.67491955924534,127.05547372293891,0.2820740589161175,0.0,1.0,0.0,31.988888888888887,3586097.0
416,423.0,423.0,423.0,423.0,메가엠지씨커피 월계사슴점,2024-07-23,영업/정상,,서울특별시 노원구 월계동 321-2 희성프라자,"서울특별시 노원구 월계로 370, 희성프라자 1층 125호 (월계동)",205316.296326505,458732.958771992,31.8,저가,37.63093561098098,127.0581238599034,1.0342983400962322,0.0,1.0,0.0,46.53333333333333,1603752.0
417,424.0,424.0,424.0,424.0,메가엠지씨커피 광산사거리점,2024-07-31,영업/정상,,서울특별시 강북구 수유동 231-1 광산빌딩,"서울특별시 강북구 노해로 87, 광산빌딩 1층 101호 (수유동)",201897.940868829,460144.594236497,66.0,저가,37.64366730037302,127.01940195035073,0.8121931001374261,1.0,0.0,0.0,51.66666666666666,2285392.0
418,425.0,425.0,425.0,425.0,메가엠지씨커피 올림픽공원역점,2023-02-20,영업/정상,,서울특별시 송파구 방이동 89-11 올림픽프라자,"서울특별시 송파구 양재대로 1222, 올림픽프라자 1층 86호 (방이동)",211619.368009793,445963.384875409,39.52,저가,37.51582603869264,127.12932800768446,0.1785147255779795,0.0,0.0,4.0,45.977777777777774,1215952.0
419,426.0,426.0,426.0,426.0,메가엠지씨커피 서울대잔디광장점,2023-02-20,영업/정상,,서울특별시 관악구 신림동 산 56-1 서울대학교,"서울특별시 관악구 관악로 1, 서울대학교 60-1동 B1층 (신림동)",196139.864969792,439023.167125842,156.0,저가,37.45335858653242,126.95427232542772,3.0333893456688115,1.0,0.0,1.0,63.37777777777777,2952781.0
420,427.0,427.0,427.0,427.0,컴포즈커피 방학선덕점,2021-08-02,영업/정상,,서울특별시 도봉구 쌍문동 262-10,"서울특별시 도봉구 시루봉로 59, 1층 101호 (쌍문동)",202376.452513796,461534.679833377,46.02,저가,37.65619055350663,127.0248281789356,1.2019921243792668,1.0,1.0,0.0,34.24444444444445,3509417.0
421,428.0,428.0,428.0,428.0,빽다방 상왕십리역점,20200214,영업/정상,,서울특별시 성동구 하왕십리동 946-16번지 ,"서울특별시 성동구 왕십리로 363-1, 1층 (하왕십리동)",202542.431027982,451307.471912946,61.96,저가,37.56404484658593,127.02667451363403,0.2763402973340497,2.0,1.0,2.0,46.333333333333336,2925316.0
422,429.0,429.0,429.0,429.0,메가엠지씨커피 중곡중앙점,2022-03-18,영업/정상,,서울특별시 광진구 중곡동 47-14 영빌딩,"서울특별시 광진구 능동로 338-1, 영빌딩 1층 (중곡동)",207101.894341668,450825.16485544,105.0,저가,37.559675779451794,127.07827634276414,0.3833650543222743,0.0,1.0,1.0,36.16666666666666,1239569.0
